Este(m);Norte(m);Cota(m);Al(%);Fe(%);Campana
6949.81;1156.35;1336.1;3.91;62.84;CNEW
6949.81;1152.2;1328.92;2.8;61.44;CNEW
6949.81;1148.6;1322.68;3.35;60.53;CNEW
6949.81;1145.98;1318.13;2.01;48.64;CNEW
6950.05;1230.89;1368.36;0.36;68.5;CNEW
6950.05;1226.88;1361.41;0.83;58.18;CNEW
6950.05;1223.67;1355.84;0.49;53.62;CNEW
6950.05;1220.83;1350.93;0.8;48.08;CNEW
6749.96;1499.98;1368.5;0.7;68.34;CHIST
6749.96;1499.98;1363.15;0.56;67.91;CHIST
6749.96;1499.98;1358.35;2.39;61.23;CHIST
6749.96;1499.98;1354.7;1.38;63.43;CHIST
6749.96;1499.98;1344;0.71;57.18;CHIST
6749.96;1499.98;1336.3;0.8;66.36;CHIST
6749.96;1499.98;1329.8;0.61;66.27;CHIST
6749.96;1499.98;1323.62;0.44;46.03;CHIST
6749.96;1499.98;1315.37;0.56;67.85;CHIST
6749.96;1499.98;1306.8;0.45;68.23;CHIST
6749.96;1499.98;1301.6;0.37;68.23;CHIST
6749.96;1499.98;1298.15;1.51;61.47;CHIST
6749.96;1499.98;1292.15;0.58;66.84;CHIST
6749.96;1499.98;1284.4;0.67;64.68;CHIST
6749.96;1499.98;1276.1;0.67;64.68;CHIST
6749.96;1499.98;1267.8;1.34;56.78;CHIST
6750.29;1338.18;1347.08;1.77;66.22;CNEW
6750.29;1338.18;1337.71;0.85;58.16;CNEW
6750.29;1338.18;1324.83;0.61;57.94;CNEW
6750.29;1338.18;1317.06;0.29;59.07;CNEW
6750.29;1338.18;1308.11;0.81;64.07;CNEW
6750.29;1338.18;1297.71;2.5;56.22;CNEW
6750.29;1338.18;1291.43;2.5;56.22;CNEW
6639.95;1489.84;1354.81;0.71;68.65;CHIST
6639.95;1489.84;1346.74;0.44;68.69;CHIST
6639.95;1489.84;1336.74;0.36;68.8;CHIST
6639.95;1489.84;1330.11;0.58;68.31;CHIST
6639.95;1489.84;1324.44;0.85;67.74;CHIST
6639.95;1489.84;1316.04;0.77;67.18;CHIST
6639.95;1489.84;1306.69;1.12;43.11;CHIST
6639.95;1489.84;1296.69;0.22;36.92;CHIST
6639.95;1489.84;1286.69;0.36;41.31;CHIST
6639.95;1489.84;1276.69;0.3;47.44;CHIST
6639.95;1489.84;1269.84;0.28;41.25;CHIST
6649.91;1429.92;1356.66;0.88;64.75;CHIST
6649.91;1429.92;1348.06;0.88;63.95;CHIST
6649.91;1429.92;1339.46;0.52;67.01;CHIST
6649.91;1429.92;1329.46;0.57;67.48;CHIST
6649.91;1429.92;1319.46;0.57;67.91;CHIST
6649.91;1429.92;1309.46;0.28;68.9;CHIST
6649.91;1429.92;1299.46;0.17;69;CHIST
6649.91;1429.92;1289.46;0.19;68.76;CHIST
6649.91;1429.92;1279.46;0.4;68.16;CHIST
6649.91;1429.92;1269.46;0.9;67.94;CHIST
6649.91;1429.92;1262.01;1.02;67.93;CHIST
6750.27;1502.15;1359.99;2.32;62.8;CHIST
6750.27;1504.49;1355.94;1.31;48.48;CHIST
6750.27;1506.77;1352;1.32;54.4;CHIST
6750.27;1510.42;1345.68;0.21;69.49;CHIST
6750.27;1513.89;1339.66;0.27;69.35;CHIST
6750.27;1516.49;1335.16;0.52;68.28;CHIST
6750.27;1520.62;1328.02;0.37;68.41;CHIST
6750.27;1523.22;1323.51;0.42;68.09;CHIST
6750.27;1525.82;1319.01;1.19;47.44;CHIST
6750.27;1529.83;1312.06;1.28;49.15;CHIST
6750.27;1532.67;1307.14;0.82;60.28;CHIST
6750.27;1536.49;1300.52;0.93;41.65;CHIST
6750.27;1541.49;1291.86;1.12;43.9;CHIST
6750.27;1546.07;1283.93;0.93;40.15;CHIST
6850;1517.49;1368.36;1.89;59.36;CHIST
6850;1520.61;1362.97;2.04;49.3;CHIST
6850;1523.61;1357.77;1.97;57.73;CHIST
6850;1526.47;1352.81;0.32;68.32;CHIST
6850;1528.69;1348.96;0.38;53.59;CHIST
6850;1532.24;1342.81;0.54;65.36;CHIST
6850;1535.18;1337.72;0.57;67.42;CHIST
6850;1538.12;1332.64;0.2;69.35;CHIST
6850;1543.12;1323.98;0.74;67.82;CHIST
6850;1548.12;1315.32;1.2;66.66;CHIST
6850;1550.64;1310.94;1.1;67.2;CHIST
